,Label,badge_id,Description,Emoji,Score (Raw),Score (Decimal),Probability,Rarity,107734,word_1,type_1,word_2,type_2,word_3,type_3,word_4,type_4,word_5,type_5,word_6,type_6,word_7,type_7
60,Pi Slice (5),PI_CONTAINS_5,"Contains ""31415"".",🥧,5000005,5000005,0.00%,Anomoly,,transcendent,adj,,,,,,,,,,,,
61,E Slice (5),E_CONTAINS_5,"Contains ""27182"".",📈,5000005,5000005,0.00%,Anomoly,,eternal,adj,,,,,,,,,,,,
62,Cascade,CASCADE,Every digit increases by exactly 1 from the previous.,🌊,3333337,3333337,0.00%,Anomoly,,onward,adv,,,,,,,,,,,,
63,Fibonacci Number,FIBONACCI,Part of the golden ratio sequence found in nature.,🐚,3333337,3333337,0.00%,Anomoly,,golden,adj,infinite,adj,,,,,,,,,,
64,4th Power,FOURTH_POWER,A perfect fourth power (n⁴).,📦,3125003,3125003,0.00%,Anomoly,,,,,,,,,,,,,,,
65,Waterfall,WATERFALL,Every digit decreases by exactly 1 from the previous.,🚿,2857146,2857146,0.00%,Anomoly,,torrent,noun,plunge,verb,!,punct,flow,verb,waterfall,noun,,,,
66,4 Consecutive Numbers (Contains),CONSEC_QUAD_CONTAINS,Contains four adjacent consecutive integers.,🔗,2631582,2631582,0.00%,Anomoly,,hidden,adj,buried,adj,deep,adj,,,,,,,,
67,4 Consecutive Numbers (Scrambled),CONSEC_QUAD_SCRAMBLED,"The entire number splits into four consecutive integers, but not in order.",🔀,2272730,2272730,0.00%,Anomoly,,rearranged,adj,,,,,,,,,,,,
68,Homogeneous,HOMOGENEOUS,All digits are the same.,🥛,2222224,2222224,0.00%,Anomoly,,singular,adj,identical,adj,flat,adj,,,,,,,,
69,Binary Soul,BINARY_SOUL,Only 0s and 1s.,🤖,1538463,1538463,0.01%,Anomoly,,electric,adj,,,,,,,,,,,,
70,Straight Flush,STRAIGHT_FLUSH,"Contains 5 consecutive same-parity digits (02468, 13579, or their reverse).",🃏,1449277,1449277,0.01%,Anomoly,,swift,adj,,,,,,,,,,,,
71,Two Digits,TWO_DIGITS,Has exactly two digits.,✌️,1111112,1111112,0.01%,Anomoly,,so,adv,brief,adj,small,adj,,,,,,,,
72,Spy Number,SPY,The sum of its digits equals the product of its digits.,🕵️,1030929,1030929,0.01%,Anomoly,,,,,,,,,,,,,,,
73,Quad Nine,QUAD_NINE,Ends in 9999.,🎊,1000001,1000001,0.01%,Anomoly,,final,adj,,,,,,,,,,,,
74,Semi-Epoch,SEMI_EPOCH,"Ends in ""5000"".",🗿,1000001,1000001,0.01%,Anomoly,,ancient,adj,first,adj,deep,adj,,,,,,,,
75,3rd Power,CUBE,A perfect cube (n³).,🧊,990100,990100,0.01%,Anomoly,,solid,adj,,,,,,,,,,,,
76,Even Spacing,EVEN_SPACING,All digits are evenly spaced in an arithmetic sequence.,📏,862070,862070,0.01%,Anomoly,,steady,adj,constant,adj,,,,,,,,,,
77,3 Consecutive Numbers,CONSEC_TRIPLE_EXACT,The entire number splits into three consecutive integers in order.,⛓️,555556,555556,0.02%,Epic,,,,,,,,,,,,,,,
78,Contiguous Fives,CONTIGUOUS_FIVES,Five identical consecutive digits.,➖➖➖,552487,552487,0.02%,Epic,,,,,,,,,,,,,,,
79,Deep Void (4),DEEP_VOID_FOUR,"Contains ""0000"".",🌌,552487,552487,0.02%,Epic,,empty,adj,forgotten,adj,,,,,,,,,,
80,Strobogrammatic,STROBOGRAMMATIC,Looks the same when rotated 180 degrees.,🙃,502513,502513,0.02%,Epic,,flipped,adj,upside,adv,rotated,adj,,,,,,,gone,adj
81,Straight,STRAIGHT,Contains a sequence of 5 consecutive digits (ascending or descending).,📏,454546,454546,0.02%,Epic,,straight,adj,forward,adv,,,,,,,,,,
82,Jackpot Four,JACKPOT_FOUR,Contains four 7s in a row.,💰💰,357143,357143,0.03%,Epic,,golden,adj,,,,,,,,,,,,
83,Very Nice,VERY_NICE,"Contains ""6969"".",🥵,334448,334448,0.03%,Epic,,very,adv,more,adj,,,,,,,,,,
84,Deeper Meaning,DEEPER_MEANING,"Contains ""4242"".",🌌,334448,334448,0.03%,Epic,,deeper,adj,psychic,adj,,,,,,,,,,
85,6767,SIXTY_SEVEN_DOUBLE,"Contains ""6767"".",🫠,334448,334448,0.03%,Epic,,double,adj,,,,,,,,,,,,
86,Leet,LEET,"Contains ""1337"".",💻,333334,333334,0.03%,Epic,,,,,,,,,,,,,,,
87,Hell,HELL,"Contains ""7734"" (spells HELL upside-down).",🔥,333334,333334,0.03%,Epic,,burning,adj,infernal,adj,,,,,,,,,,
88,8008,BOOB_8008,"Contains ""8008"" (spells BOOB upside-down).",🔢,333334,333334,0.03%,Epic,,upside,adv,digital,adj,,,,,,,,,,
89,Big Brother,BIG_BROTHER,"Contains ""1984"".",👁️,333334,333334,0.03%,Epic,,always,adv,,,,,,,,,,,,
90,Pi Slice (4),PI_CONTAINS_4,"Contains ""3141"".",🥧,333334,333334,0.03%,Epic,,round,adj,,,,,,,,,,,,
91,E Slice (4),E_CONTAINS_4,"Contains ""2718"".",📈,333334,333334,0.03%,Epic,,,,,,,,calm,adj,even,adj,,,,
92,3 Consecutive Numbers (Scrambled),CONSEC_TRIPLE_SCRAMBLED,"The entire number splits into three consecutive integers, but not in order.",🔀,277778,277778,0.04%,Epic,,scattered,adj,mixed,adj,,,,,,,,,,
93,Zipper,ZIPPER,Two digits alternating perfectly.,🤐,246914,246914,0.04%,Epic,,zip,verb,mesh,noun,teeth,noun,lock,noun,weave,verb,",",punct,,
94,Ascension,ASCENSION,Every digit is strictly larger than the previous.,📈,219298,219298,0.05%,Epic,,ever,adv,eternal,adj,,,,,,,,,,
95,3 Consecutive Numbers (Contains),CONSEC_TRIPLE_CONTAINS,Contains three adjacent consecutive integers.,🔗,157978,157978,0.06%,Epic,,hidden,adj,,,,,,,,,,,,
96,Contiguous Three Pair,CONTIGUOUS_THREE_PAIR,Contains three adjacent contiguous pairs.,👨‍👩‍👧‍👦👯,154321,154321,0.06%,Epic,,all,adj,thrice,adv,the,art,every,adj,bound,adj,,,,
97,Framed Pair,FRAMED_PAIR,A 4-digit number where the middle two digits match each other but differ from both end digits.,🖼️,137174,137174,0.07%,Epic,,tight,adv,bound,adj,,,,,,,,,,
98,Framed Triple,FRAMED_TRIPLE,"A triple in the middle, bookended by different digits.",🖼️🖼️,137174,137174,0.07%,Epic,,trapped,adj,enclosed,adj,,,mixed,adj,varied,adj,new,adj,distinct,adj
99,Decay,DECAY,Every digit is strictly smaller than the previous.,📉,119474,119474,0.08%,Epic,,away,adv,fading,adj,,,,,,,,,,
100,Three Digits,THREE_DIGITS,Has exactly three digits.,🤟,111111,111111,0.09%,Epic,,,,,,,,,,,,,,,
101,Echo,ECHO,The first half repeats as the second half.,📣,100100,100100,0.10%,Epic,,again,adv,,,,,flat,adj,whole,adj,,,,
102,Millennium,MILLENNIUM,Ends in triple zeros.,🗓️,1e5,100000,0.10%,Epic,,grand,adj,ancient,adj,,,strange,adj,weird,adj,lone,adj,curious,adj
103,Pronic Number,PRONIC,The product of two consecutive integers (n * n+1).,🧮,1e5,100000,0.10%,Epic,,next,adj,,,,,close,adj,partial,adj,rough,adj,,
104,Triple Nine,TRIPLE_NINE,Ends in 999.,🎉,1e5,100000,0.10%,Epic,,almost,adv,,,,,,,,,,,,
105,Semi-Millennium,SEMI_MILLENNIUM,"Ends in ""500"".",📜,1e5,100000,0.10%,Epic,,old,adj,long,adj,ago,adv,cooked,adj,,,,,,
106,Colossal,COLOSSAL,"A number greater than 999,000.",🪨,1e5,100000,0.10%,Epic,,colossal,adj,immense,adj,towering,adj,,,,,,,,
107,2nd Power,SQUARE,A perfect square (n²).,🟦,99900,99900,0.10%,Epic,,just,adv,perfect,adj,,,,,,,,,,
108,Even Spacing (Absolute),EVEN_SPACING_ABS,"All digits have the same absolute spacing (e.g., ±2 each time).",📐,90992,90992,0.11%,Epic,,precise,adj,exact,adj,,,,,,,,,,
109,Firefly,FIREFLY,One unique digit among identical others.,🪲,82237,82237,0.12%,Epic,,lone,adj,,,,,,,,,,,,
110,2 Consecutive Numbers,CONSEC_PAIR_EXACT,The entire number splits into two consecutive integers.,🔗,50505,50505,0.20%,Epic,,next,adj,,,,,,,,,,,,
111,Palindrome,PALINDROME,Reads the same forwards and backwards.,🪞,50025,50025,0.20%,Epic,,backwards,adv,same,adj,,,,,,,,,,
112,Contiguous Quads,CONTIGUOUS_QUADS,Four identical consecutive digits.,➖➖,37023,37023,0.27%,Rare,,unbreakable,adj,,,,,,,,,,,,
113,Deep Void (3),DEEP_VOID_THREE,"Contains ""000"".",🌑,37023,37023,0.27%,Rare,,silent,adj,,,,,,,,,,,,
114,Turtle,TURTLE,All consecutive digits differ by at most 1.,🐢,36049,36049,0.28%,Rare,,slow,adj,steady,adj,,,,,,,,,,
115,Secret Agent,SECRET_AGENT,"Contains ""007"".",🕶️,34614,34614,0.29%,Rare,,,,,,,,wide,adj,deep,adj,whole,adj,,
116,Heavy,HEAVY,The sum of its digits exceeds 45.,🧱,33300,33300,0.30%,Rare,,heavy,adj,dense,adj,deep,adj,,,,,,,,
117,Contiguous Full House,CONTIGUOUS_BOAT,Contains a contiguous set of three adjacent to a contiguous set of two.,🏰,30111,30111,0.33%,Rare,,,,,,,,,,,,,,,
118,Jackpot,JACKPOT,"Contains ""777"".",💰,27027,27027,0.37%,Rare,,bright,adj,,,,,,,,,,,,
119,Devil,DEVIL,"Contains ""666"".",😈,27027,27027,0.37%,Rare,,dark,adj,,,,,,,,,,,,
120,Sequence (4),SEQUENCE_4,Contains a sequence of 4 consecutive digits.,🔢,25907,25907,0.39%,Rare,,,,,,,,,,,,,,,
121,Error 404,ERROR,"Contains ""404"".",🚫,25132,25132,0.40%,Rare,,lost,adj,not,adv,,,,,,,,,,
122,Orientation,ORIENTATION,"Contains ""101"" (intro course number).",🧭,25132,25132,0.40%,Rare,,first,adj,,,,,,,,,,,,
123,Botanist,BOTANIST,"Contains ""420"".",🌿,25006,25006,0.40%,Rare,,green,adj,,,,,,,,,,,,
124,Emergency,EMERGENCY,"Contains ""911"".",🚑,25006,25006,0.40%,Rare,,now,adv,urgent,adj,,,,,,,,,,
125,Pi Slice (3),PI_CONTAINS_3,"Contains ""314"".",🥧,25006,25006,0.40%,Rare,,,,,,,,,,,,,,,
126,E Slice (3),E_CONTAINS_3,"Contains ""271"".",📈,25006,25006,0.40%,Rare,,,,,,,,,,,,,,,
127,Tree Fiddy,TREE_FIDDY,"Contains ""350"" (the Loch Ness Monster\'s request).",🦕,25006,25006,0.40%,Rare,,,,,,,,,,,,,,,
128,Calendar,CALENDAR,"Contains ""365"" (days in a year).",📅,25006,25006,0.40%,Rare,,,,,,,,,,,,,,,
129,Divisible by Three,DIVISIBLE_BY_THREE,Every digit is divisible by 3.,🔺,24414,24414,0.41%,Rare,,whole,adj,,,,,,,,,,,,
130,Scramble,SCRAMBLE,All digits form a consecutive sequence when sorted.,🔀,22722,22722,0.44%,Rare,,,,,,,,,,,,,,,
131,Duality,DUALITY,Uses exactly two different digits.,☯️,21654,21654,0.46%,Rare,,apart,adv,,,,,,,,,,,,
132,Framed Double,FRAMED_DOUBLE,"Two pairs in the middle, bookended by different digits.",🖼️🖼️🖼️,15242,15242,0.66%,Rare,,wrapped,adj,secure,adj,sealed,adj,,,,,,,,
133,Paired Bookends,PAIRED_BOOKENDS,Starts with a pair and ends with a different pair.,👐,11122,11122,0.90%,Rare,,,,,,,,,,,,,,,
134,Four Digits,FOUR_DIGITS,Has exactly four digits.,🍀,11111,11111,0.90%,Rare,,,,,,,,,,,,,,,
135,Three Pair,THREE_PAIR,Contains three distinct pairs of matching digits.,👯‍♀️👯,10288,10288,0.97%,Rare,,more,adj,,,,,,,,,,,,
136,Bookends,BOOKENDS,The first two digits match the last two.,📚,10010,10010,1.00%,Rare,,the,art,last,adj,,,,,,,,,,
137,Mirror Bookends,MIRROR_BOOKENDS,First two digits are reversed as the last two.,📖,10010,10010,1.00%,Rare,,,,,,,,,,,,,,,
138,Century,CENTURY,Ends in double zeros.,💯,1e4,10000,1.00%,Rare,,a,art,,,,,,,,,,,,
139,Double Nine,DOUBLE_NINE,Ends in 99.,🎈,1e4,10000,1.00%,Rare,,the,art,,,,,,,,,,,,
140,Semi-Century,SEMI_CENTURY,"Ends in ""50"".",🗓️,1e4,10000,1.00%,Rare,,,,,,,,,,,,,,,
141,Four of a Kind,QUADS,Contains four identical digits.,🍀,8436,8436,1.20%,Uncommon,,solid,adj,strong,adj,,,,,,,,,,
142,Low Ball,LOW_BALL,Contains only digits from 0 to 4.,📉,6400,6400,1.60%,Uncommon,,low,adj,few,adj,,,,,,,,,,
143,Contiguous Two Pair,CONTIGUOUS_TWO_PAIR,Contains two adjacent contiguous pairs.,👨‍👩‍👧‍👦,6142,6142,1.60%,Uncommon,,also,adv,double,adj,close,adj,,,,,,,,
144,Mountain,MOUNTAIN,Digits ascend to a peak and then descend.,🏔️,5885,5885,1.70%,Uncommon,,high,adj,,,,,,,,,,,,
145,Double Hop,DOUBLE_HOP,A digit appears at every other position (3 times).,🦘🦘,5321,5321,1.90%,Uncommon,,twice,adv,too,adv,double,adj,,,,,,,,
146,High Roller,HIGH_ROLLER,Contains only digits from 5 to 9.,🤑,5120,5120,2.00%,Uncommon,,great,adj,big,adj,high,adj,,,,,,,,
147,Valley,VALLEY,Digits descend to a trough and then ascend.,🏜️,4199,4199,2.40%,Uncommon,,deep,adj,,,,,,,,,,,,
148,Mini Echo,MINI_ECHO,Contains an adjacent 2-digit repeat.,🔂,3704,3704,2.70%,Uncommon,,twice,adv,over,adv,again,adv,mere,adj,tiny,adj,bare,adj,first,adj
149,Alternator,ALTERNATOR,Digits strictly alternate between even and odd.,⚡,2845,2845,3.50%,Uncommon,,then,adv,,,,,,,,,,,,
150,Flush,FLUSH,All digits are either all even or all odd.,🎨,2845,2845,3.50%,Uncommon,,same,adj,all,adj,even,adj,warm,adj,,,,,,
151,Contiguous Trips,CONTIGUOUS_TRIPS,Three identical consecutive digits.,➖,2784,2784,3.60%,Uncommon,,bound,adj,unbroken,adj,,,,,,,,,,
152,Deep Void,DEEP_VOID,"Contains ""00"".",🕳️,2784,2784,3.60%,Uncommon,,,,,,,,,,,,,,,
153,Feather,FEATHER,The sum of its digits is less than 15.,🪶,2667,2667,3.80%,Uncommon,,light,adj,a,art,soft,adj,,,,,,,,
154,Blackjack,BLACKJACK,Digits sum exactly to 21.,♠️,2521,2521,4.00%,Uncommon,,,,,,,,,,,,,,,
155,Full House,BOAT,Contains a set of three and a set of two.,🏠,2397,2397,4.20%,Uncommon,,,,,,,,,,,,,,,
156,Snake Eyes,SNAKE_EYES,Contains a single pair of ones and no other pairs.,🎲,2121,2121,4.70%,Uncommon,,dark,adj,,,,,,,,,,,,
157,Nice,NICE,Contains the number 69.,😏,2024,2024,4.90%,Uncommon,,sweet,adj,funny,adj,,,same,adj,,,,,,
158,Meaning of Life,MEANING,"Contains ""42"".",🌌,2024,2024,4.90%,Uncommon,,why,adv,,,,,,,,,,,,
159,Six-Seven,SIXTY_SEVEN,"Contains ""67"".",🫠,2024,2024,4.90%,Uncommon,,viral,adj,,,,,,,,,,,,
160,Eighty-Six,EIGHTY_SIX,"Contains ""86"" (restaurant slang for ""out of"").",🍽️,2024,2024,4.90%,Uncommon,,gone,adj,,,,,,,,,,,,
161,Balanced,BALANCED,Sum of first half of digits equals sum of second half.,⚖️,1959,1959,5.10%,Uncommon,,equal,adj,how,adv,fair,adj,calm,adj,true,adj,,,,
162,Rhyme,RHYME,Contains the same 2+ digit substring twice.,🎶,1872,1872,5.30%,Uncommon,,poetic,adj,again,adv,,,,,,,,,,
163,Sequence (3),SEQUENCE_3,Contains a sequence of 3 consecutive digits.,🔢,1716,1716,5.80%,Uncommon,,where,adv,,,,,,,,,,,,
164,2 Consecutive Numbers (Contains),CONSEC_PAIR_ADJACENT,Contains two adjacent substrings that are consecutive integers.,🔗,1659,1659,6.00%,Uncommon,,near,adj,close,adj,,,,,,,,,,
165,2 Consecutive Numbers (Nearby),CONSEC_PAIR_NEARBY,Contains two non-adjacent substrings that are consecutive integers.,🔗,1575,1575,6.30%,Uncommon,,close,adj,consecutive,adj,,,,,,,,,,
166,Prime Number,PRIME,Divisible only by 1 and itself.,💎,1274,1274,7.80%,Uncommon,,true,adj,prime,adj,always,adv,,,,,,,,
167,Trinity,TRINITY,Uses exactly three different digits.,⚜️,1265,1265,7.90%,Uncommon,,,,,,,,clear,adj,gone,adj,dry,adj,,
168,Dozen,DOZEN,Divisible by 12.,🍩,1200,1200,8.30%,Uncommon,,many,adj,the,art,full,adj,,,,,,,,
169,Five Digits,FIVE_DIGITS,Has exactly five digits.,🖐️,1111,1111,9.00%,Uncommon,,a,art,wide,adj,,,,,,,,,,
170,Eleven,ELEVEN,Divisible by 11.,🕚,1100,1100,9.10%,Uncommon,,,,,,,,,,,,,,,
171,Harshad Number,HARSHAD,Divisible by the sum of its own digits.,🤝,1048,1048,9.50%,Uncommon,,kind,adj,the,art,whole,adj,,,,,,,,
172,Clean,CLEAN,Ends in a zero.,🧼,1e3,1000,10.00%,Uncommon,,pure,adj,a,art,clean,adj,clear,adj,fresh,adj,bright,adj,,
173,Semi-Clean,SEMI_CLEAN,Ends in a 5.,🧹,1e3,1000,10.00%,Uncommon,,almost,adv,a,art,near,adj,,,,,,,,
174,Equilibrium,EQUILIBRIUM,The first and last digits are identical.,🧘,1e3,1000,10.00%,Uncommon,,still,adv,same,adj,where,adv,,,,,,,,
175,Sandwich,SANDWICH,"First and last digits match, with at least one different digit between them.",🥪,1e3,1000,10.00%,Uncommon,,,,,,,,,,,,,,,
176,Hills,HILLS,Digits strictly alternate between rising and falling.,🏞️,733,733,13.60%,Common,,rolling,adj,gentle,adj,,,,,,,,,,
177,Three of a Kind,TRIPS,Contains three identical digits.,🎰,724,724,13.80%,Common,,together,adv,,,,,,,,,,,,
178,Lucky Seven (Divisible),LUCKY_SEVEN_DIV,Divisible by 7.,🎰,700,700,14.30%,Common,,divine,adj,holy,adj,,,,,,,,,,
179,Heterogeneous,HETEROGENEOUS,No repeated digits.,🥗,593,593,16.90%,Common,,different,adj,why,adv,unique,adj,,,,,,,,
